number,values_0,values_1,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_accuracy,user_attrs_auroc,user_attrs_f1,user_attrs_ks_statistic,user_attrs_max_depth,user_attrs_max_distance_at,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators,user_attrs_precision,user_attrs_recall,system_attrs_nsga2:generation
0,0.9551620724068202,0.783744465735446,3,9,8,86,0.8898675700646751,0.9551620724068202,0.8650259965337955,0.783744465735446,3,0.5254072810843032,9,8,86,0.8650259965337955,0.8845254129155738,0
1,0.9787915614844345,0.8546194547108953,6,6,9,194,0.9280874653526332,0.9787915614844345,0.916030534351145,0.8546194547108953,6,0.47930607969030486,6,9,194,0.916030534351145,0.9186928475225066,0
5,0.9826503655375594,0.8649299761196471,7,3,3,194,0.9318139821373576,0.9826503655375594,0.9198023296858454,0.8649299761196471,7,0.4564652052949124,3,3,194,0.9198023296858454,0.9235840362940384,0
4,0.9830544102253693,0.8624888114346857,7,10,7,160,0.9315676008623345,0.9830544102253693,0.9198163193217944,0.8624888114346857,7,0.45459303919657146,10,7,160,0.9198163193217944,0.9229460551499256,0
7,0.9887748177558359,0.8843801032879609,10,10,3,266,0.9430859254696643,0.9887748177558359,0.936108146567058,0.8843801032879609,10,0.4845237184228659,10,3,266,0.936108146567058,0.932657545899199,0
6,0.9911544337265246,0.9008607327506457,13,10,10,357,0.9502925777640899,0.9911544337265246,0.9453197405004634,0.9008607327506457,13,0.4695302253136757,10,10,357,0.9453197405004634,0.9399588856596016,0
2,0.9912612503157298,0.9030870250990631,12,2,15,123,0.952202032645519,0.9912612503157298,0.9477212752300122,0.9030870250990631,12,0.5137747108725348,2,15,123,0.9477212752300122,0.9419437158857304,0
8,0.9914350219773572,0.9047412317218723,12,2,2,473,0.9530951647674777,0.9914350219773572,0.9493001999428735,0.9047412317218723,12,0.45970295173442655,2,2,473,0.9493001999428735,0.9423690366484724,0
3,0.9920528658367231,0.9058553005091461,16,9,3,209,0.9535879273175238,0.9920528658367231,0.9491017964071856,0.9058553005091461,16,0.48426025408789736,9,3,209,0.9491017964071856,0.9437867725242787,0
9,0.9929635080938894,0.9118958181003257,18,5,10,480,0.9567600862334462,0.9929635080938894,0.9560565807424427,0.9118958181003257,18,0.4803185620201714,5,10,480,0.9560565807424427,0.9438576593180691,0
