number,values_0,values_1,params_alpha,params_eta,params_grow_policy,params_lambda,params_max_depth,user_attrs_accuracy,user_attrs_alpha,user_attrs_auroc,user_attrs_eta,user_attrs_f1,user_attrs_grow_policy,user_attrs_ks_statistic,user_attrs_lambda,user_attrs_max_depth,user_attrs_max_distance_at,user_attrs_precision,user_attrs_recall,system_attrs_nsga2:generation
5,0.9941615867842217,0.9178833568559132,1,0.2,depthwise,3,49,0.9600862334462581,1,0.9941615867842217,0.2,0.961125908861853,depthwise,0.9178833568559132,3,49,0.5158590078353882,0.961125908861853,0.9464095838945205,0
6,0.994165981742275,0.9177454628755732,1,0.1,depthwise,4,31,0.9598706498306129,1,0.994165981742275,0.1,0.9622382671480144,depthwise,0.9177454628755732,4,31,0.5609742403030396,0.9622382671480144,0.9447083008435528,0
2,0.9942258666647859,0.9182224731317994,2,0.25,lossguide,3,22,0.9603018170619033,2,0.9942258666647859,0.25,0.9622097216212318,lossguide,0.9182224731317994,3,22,0.588435173034668,0.9622097216212318,0.9457716027504076,0
4,0.9942285206249629,0.9192396212235608,2,0.25,depthwise,4,22,0.960917770249461,2,0.9942285206249629,0.25,0.962463976945245,depthwise,0.9192396212235608,4,22,0.5194015502929688,0.962463976945245,0.946976678244843,0
9,0.9942431145107073,0.9178735748412388,1,0.15000000000000002,depthwise,5,44,0.960363412380659,1,0.9942431145107073,0.15000000000000002,0.9620818915801614,depthwise,0.9178735748412388,5,44,0.5482262372970581,0.9620818915801614,0.9460551499255688,0
8,0.9942871297164361,0.919481450074892,2,0.3,depthwise,5,37,0.9607021866338158,2,0.9942871297164361,0.3,0.961646398503274,depthwise,0.919481450074892,5,37,0.5468069911003113,0.961646398503274,0.9473311122137946,0
3,0.9943162730944093,0.9193034938418724,3,0.3,lossguide,5,48,0.9610717585463505,3,0.9943162730944093,0.3,0.9632114260982472,lossguide,0.9193034938418724,5,48,0.5286234021186829,0.9632114260982472,0.9465513574821011,0
7,0.9943183094056723,0.9209015870608513,4,0.3,lossguide,5,47,0.9615029257776408,4,0.9943183094056723,0.3,0.9641851397212795,lossguide,0.9209015870608513,5,47,0.5576235055923462,0.9641851397212795,0.9465513574821011,0
1,0.9943285199142807,0.9203701194719451,4,0.1,depthwise,1,27,0.9613797351401293,4,0.9943285199142807,0.1,0.963973720309003,depthwise,0.9203701194719451,1,27,0.5315521955490112,0.963973720309003,0.9464804706883108,0
0,0.9943842646589154,0.9221286276947882,4,0.15000000000000002,depthwise,4,36,0.9626424391746228,4,0.9943842646589154,0.15000000000000002,0.9657563935847421,depthwise,0.9221286276947882,4,36,0.5011497735977173,0.9657563935847421,0.9476146593889558,0
