number,value,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_accuracy,user_attrs_auroc,user_attrs_f1,user_attrs_max_depth,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators,user_attrs_precision,user_attrs_recall
3,0.9561906933271579,3,5,8,98,0.890699106867878,0.9561906933271579,0.8680797657230512,3,5,8,98,0.8680797657230512,0.8825405826894449
5,0.9781100611838768,6,7,8,443,0.9276255004619649,0.9781100611838768,0.9162359272109325,6,7,8,443,0.9162359272109325,0.9172751116467002
2,0.9786949785656718,6,4,10,209,0.9283954419464121,0.9786949785656718,0.9168553637135579,6,4,10,209,0.9168553637135579,0.9184801871411356
8,0.9855349403778293,8,10,2,150,0.9345857714813675,0.9855349403778293,0.9242971460944692,8,10,2,150,0.9242971460944692,0.9252144325512157
9,0.9858608524780272,8,2,7,52,0.936895595934709,0.9858608524780272,0.9265600679213245,8,2,7,52,0.9265600679213245,0.9283334514779896
7,0.9918975252047177,13,3,13,176,0.9545118570988604,0.9918975252047177,0.9500427594070695,13,3,13,176,0.9500427594070695,0.9449918480187142
1,0.9920837019587513,16,9,13,425,0.9534031413612566,0.9920837019587513,0.9492081609359395,16,9,13,425,0.9492081609359395,0.9432196781739562
0,0.9926279432992584,20,7,8,257,0.9554049892208192,0.9926279432992584,0.9536950756218192,20,7,8,257,0.9536950756218192,0.9431487913801658
4,0.9926299120551716,17,6,6,83,0.9562365260240222,0.9926299120551716,0.9538494562106469,17,6,6,83,0.9538494562106469,0.9449918480187142
6,0.9926971199776183,16,5,6,468,0.9558053587927318,0.9926971199776183,0.9532188841201716,16,5,6,468,0.9532188841201716,0.9446374140497625
