number,values_0,values_1,params_alpha,params_eta,params_grow_policy,params_lambda,params_max_depth,user_attrs_accuracy,user_attrs_alpha,user_attrs_auroc,user_attrs_eta,user_attrs_f1,user_attrs_grow_policy,user_attrs_ks_statistic,user_attrs_lambda,user_attrs_max_depth,user_attrs_max_distance_at,user_attrs_precision,user_attrs_recall,system_attrs_nsga2:generation
8,0.9948634212451176,0.9211286425222225,2,0.25,lossguide,4,40,0.9619648906683093,2,0.9948634212451176,0.25,0.9636887608069165,lossguide,0.9211286425222225,4,40,0.49227118492126465,0.9636887608069165,0.9481817537392784,0
0,0.9949287800811283,0.9223488581356605,3,0.3,depthwise,3,42,0.9624884508777333,3,0.9949287800811283,0.3,0.9639334821107192,depthwise,0.9223488581356605,3,42,0.5394217371940613,0.9639334821107192,0.9491741688523428,0
2,0.9949599057260846,0.9210544320052141,2,0.2,depthwise,3,42,0.961749307052664,2,0.9949599057260846,0.2,0.9635367874900915,depthwise,0.9210544320052141,3,42,0.4778243601322174,0.9635367874900915,0.9478273197703267,0
9,0.9949690758823035,0.9220178678032982,2,0.25,lossguide,5,22,0.962303664921466,2,0.9949690758823035,0.25,0.9647882242586046,lossguide,0.9220178678032982,5,22,0.5207486152648926,0.9647882242586046,0.9478273197703267,0
4,0.995023780274549,0.9222835070202612,2,0.25,lossguide,4,8,0.9625192485371111,2,0.995023780274549,0.25,0.9636023593727521,lossguide,0.9222835070202612,4,8,0.5020641088485718,0.9636023593727521,0.9495994896150847,0
5,0.9950485055326346,0.9224788153274566,4,0.2,lossguide,1,28,0.962580843855867,4,0.9950485055326346,0.2,0.9643423137876387,lossguide,0.9224788153274566,1,28,0.5038607716560364,0.9643423137876387,0.9489615084709718,0
6,0.995057171918958,0.9230662187461302,4,0.1,depthwise,4,47,0.9626732368340006,4,0.995057171918958,0.1,0.9660955685679173,depthwise,0.9230662187461302,4,47,0.5451452732086182,0.9660955685679173,0.9473311122137946,0
1,0.9950577471045091,0.9228027914843402,2,0.1,depthwise,5,31,0.9626732368340006,2,0.9950577471045091,0.1,0.9643500180050414,depthwise,0.9228027914843402,5,31,0.52348792552948,0.9643500180050414,0.9491741688523428,0
3,0.9950760912772528,0.9227732562853372,4,0.2,depthwise,3,27,0.962303664921466,4,0.9950760912772528,0.2,0.9635840230298669,depthwise,0.9227732562853372,3,27,0.5483021140098572,0.9635840230298669,0.9491032820585525,0
7,0.99508096877352,0.9234337584529742,5,0.2,lossguide,1,21,0.9627040344933785,5,0.99508096877352,0.2,0.965022356844079,lossguide,0.9234337584529742,1,21,0.5329999923706055,0.965022356844079,0.94853618770823,0
